When,Mi,What,Oil,Tire,Wax,Cost,Who
5/5/2015,"44,194",Replaced all front lug nuts & applied anti-seize.,,,,$10.42,Mike
5/11/2015,"44,280",Installed custom WC LatheWerkes Piston Hybrid shift knob,,,,$152.50,Mike
-,"44,983",Rotated summer tires (2143),,1,,$0.00,Mike
5/16/2015,"44,983",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$34.18,Mike
6/8/2015,"45,200",Installed Cobb extended adjustable shifter rod,,,,$26.50,Mike
7/1/2015,"45,980",Installed Kosei K63 17x8+50 wheels with Dunlop Direzza ZII SS 245/40r17 tires,,1,,"$1,512.02",Mike
7/24/2015,"46,700","Alignment 0* toe, Maxed front negative camber",,1,,$79.95,Canyon Automotive
7/26/2015,"47,036",Swapped back to summer wheels,,,,$0.00,Mike
9/28/2015,"48,550",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$42.72,Mike
11/21/2015,"49,756",Swapped back to winter wheels,,1,,$0.00,Mike
2/17/2016,"51,506",Swapped back to autox wheels,,1,,$0.00,Mike
2/22/2016,"51,688",Swapped back to winter wheels,,1,,$0.00,Mike
4/2/2016,"52,522",Swapped back to summer wheels 3421,,1,,$0.00,Mike
4/2/2016,"52,522",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$32.97,Mike
4/18/2016,-,2016 Registration,,,,$189.33,Boulder DOR
5/27/2016,"53,900",Swapped back to autox wheels 3412,,1,,$0.00,Mike
6/2/2016,"54,400","Alignment 0* toe, Maxed front negative camber (properly)",,,,$93.85,SuperRupair
6/2/2016,"54,400",Washed,,,,$0.00,Mike
6/7/2016,"54,584",Installed STI 19mm rear sway bar & bushings,,,,$115.61,Mike
6/16/2016,-,"Installed diode dynamics interior, license, sidemarker, and fog LED bulbs",,,,$174.10,Mike
6/20/2016,-,Installed Curt 11210 hitch,,,,$124.33,Mike
7/2/2016,"55,677","Installed diode dynamics turn, reverse LED bulbs",,,,$176.00,Mike
7/18/2016,"55,963",Lubed clutch fork pivots,,,,$0.00,Mike
7/24/2016,"56,202","Bled brakes (Subaru DOT-3). Checked pads: ( FR 5.84i 6.86o, FL 6.63o 6.07i, RL 3.65o 3.13i, RR 3.64o 3.29i)",,,,$22.68,Mike
7/24/2016,"56,202",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$49.00,Mike
7/24/2016,"56,202",Changed power steering fluid (Subaru ATF),,,,$7.76,Mike
9/10/2016,"57,590",Installed Perrin brake master cylinder brace,,,,$102.40,Mike
10/1/2016,"58,246","Installed Cusco R160 1.5-Way LSD (1.5-Way, 12 springs, 80%, Redline Gear Oil Full Synthetic 75w90 GL-5. Redline Friction modifier)",,,,"$1,470.91",Mike
10/10/2016,"58,878","Changed Cusco R160 1.5-Way LSD oil & settings (1.5-Way, 4 springs, 80%, Motul Gear 300 LS 75w90 GL-5)",,,,$23.86,Mike
10/27/2016,"59,720","Replaced accessory belts, spark plugs, cabin air filter, engine air filter",,,,$172.07,Mike & Brendan
10/28/2016,"59,950",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$67.93,Mike
11/4/2016,-,Repaired dent in roof (total: $1160.03),,,,$100.00,ABC Auto body
11/20/2016,-,Flushed & bled clutch (Subaru DOT-3),,,,$24.76,Mike & Brendan
12/1/2016,"60,532",Installed winter tires (4123),,,,$0.00,Mike
12/4/2016,"60,775",Changed transmission fluid (Motul Gear 300 75w90 GL-5),,,,$90.60,Mike
12/11/2016,"60,869",Installed OEM shocks & rear swaybar,,,,$243.32,Mike
-,-,Installed Koni shocks & STI 19mm rear swaybar,,,,$0.00,Mike
3/9/2017,"62,195",Replaced secondary air pump - safety recall,,,,$0.00,Flatirons Subaru
3/31/2017,"62,450",Polish & seal hood. Clean interior.,,,,$0.00,Mike
4/1/2017,-,"Claybar, polish & seal paint",,,1,$0.00,Mike
7/22/2017,"64,040","Install FHI 4/2 piston brake calipers, KNS rear caliper adapters",,,,"$1,269.67",Mike & Brendan
7/22/2017,"64,040","Install Stoptech Sport brake pads, slotted rotors, and stainless lines (BRZ rear rotor, STI rear lines)",,,,$509.67,Mike & Brendan
7/22/2017,"64,040","Brake supplies (Permatex grease, Brakleen, Valvoline DOT 3/4 fluid)",,,,$44.45,Mike & Brendan
7/22/2017,"64,040",Install front speed bleeders (SB7100),,,,$35.67,Mike & Brendan
9/16/2017,"64,642",Installed Powerflex purple front control arm rear bushings,,,,$94.50,Mike & Josh
9/29/2017,"64,642",Installed Powerflex purple front control arm front bushings,,,,$132.77,Mike & 3R
10/21/2017,-,Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$38.64,Mike
10/21/2017,-,Replaced broken bumper plastic clips,,,,$11.82,Mike
11/27/2017,"65,197",Installed Cobb up-pipe,,,,$183.83,Mike
11/27/2017,"65,197",Installed Cobb catted down-pipe,,,,$508.73,Mike
11/27/2017,"65,197",Installed PTP turbo blanket,,,,$90.20,Mike
11/27/2017,"65,197",Installed Perrin down-pipe blanket,,,,$181.69,Mike
11/27/2017,"65,197",Installed Perrin turbo heatshield,,,,$67.83,Mike
11/27/2017,"65,197",Installed Cobb OTS Stage 2 91 Tune,,,,$0.00,Mike
11/27/2017,"65,197","Installed Grimmspeed gaskets: manifold, manifold to up-pipe, up-pipe to turbo, turbo to downpipe",,,,$47.03,Mike
11/27/2017,"65,197","Installed new Subaru OEM up pipe and downpipe hardware (3x studs, 4x bolts, 12x nuts)",,,,$83.12,Mike
11/27/2017,"65,255","Replaced missing airbox mounting spacer, cushion, & screw",,,,$8.84,Mike
12/2/2017,"65,391","Installed Perrin up-pipe blanket (sent item for EWG, was free)",,,,$0.00,Mike
12/16/2017,"65,921",Installed Process West Verticooler black,,,,$834.82,Mike
12/16/2017,"65,921",Installed Cobb OTS Stage 2 91 HWG Tune,,,,$0.00,Mike
1/6/2018,-,Replaced 20W mini fuse for center console power,,,,$5.98,Mike
1/16/2018,"66,820",Installed Bosch Icon windshield wipers,,,,$51.14,Mike
1/30/2018,"67,198",Installed DEI gold tape on verticooler,,,,$27.74,Mike
2/4/2018,"67,269",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$40.21,Mike
2/6/2018,"67,336",Installed Bosch rear window wiper,,,,$10.05,Mike
2/18/2018,"67,710",Replaced faulty Diode Dynamics sidemarker LED bulb,,,,$0.00,Mike
2/18/2018,"67,710",Replace HID headlight bulbs (Sylvania OSRAM Xenarc D2S),,,,$216.78,Mike
2/18/2018,"67,710",Covered front bumper bar / cover rub spots with tape to reduce noise,,,,$0.00,Mike
2/19/2018,"67,710",Washed,,,,$0.00,Mike
3/16/2018,"68,309",Replaced Diode Dynamics LED XML2 yellow fog bulbs under warranty,,,,$0.00,Mike
4/22/2018,"69,197",Replaced rear diff oil (Motul Gear 300 LSD 75w90 GL-5),,,,,Mike
5/1/2018,"69,488",Adjusted moon roof to fix wind noise,,,,$0.00,Mike
5/12/2018,"69,781",Installed IAG street air-oil separator,,,,$375.36,Mike
5/16/2018,"69,856",Installed GFB Respons TMS bypass valve,,,,$266.09,Mike & Brendan
5/31/2018,"70,256",Installed Cobb SF intake & air box,,,,$315.00,Mike
6/15/2018,"70,859",Replaced cracked windshield with Subaru OEM. Subaru OEM moldings,,,,$100.00,Safelite
7/1/2018,"71,210",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,,Mike
7/1/2018,"71,210",Stitched front bumper cover & fender liner with zip ties to prevent further damage,,,,$0.00,Mike
8/9/2018,"71,872",Installed GFB lighter BOV spring,,,,$15.00,Mike
9/14/2018,"72,300",Installed Michelin Pilot Sport 4S 235/45R17 on Koseis,,1,,$800.00,All Audi
9/14/2018,"72,300",Bought Pilot Sport 4S 235/45R17,,,,,Tire Rack
9/14/2018,"72,300",Installed Pilot Sport 4S on Kosei K6R,,,,,Discount Tire
9/29/2018,-,Replaced cracked windshield with PGW. Subaru OEM moldings,,,,$499.96,Precision Auto Glass
11/27/2018,"74,098",Installed P3 Multi + Boost vent gauge,,,,,Mike
11/30/2018,"74,103",Cleaned Cobb engine air filter,,,,,Mike
12/1/2018,"74,110","Installed Subaru Group N engine, transmission, and pitch stop mounts",,,,,Mike
12/8/2018,-,Installed Cobb silicone intake tube black,,,,,Mike
12/19/2018,"74,979",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,,Mike
12/19/2018,"75,979",Installed Bayson R ChargeSpeed style front lip (polyurethane),,,,,Mike
12/21/2018,-,Rotated Blizzak WS80s,,1,,,Mike
12/22/2018,-,"Inspected turbo, checked plugs, and compression, all good. Oil likely leaking from valve stems",,,,,Mike
2/2/2019,-,Upgraded to Cobb Access Port V3,,,,,Mike
2/2/2019,-,Wired dimmer line on P3 Gauge,,,,$0.00,Mike
3/8/2019,-,Bought Bridgestone RE-71Rs 255/40R17,,,,,Tire Rack
3/8/2019,-,Installed new Bridgestone RE-71Rs 255/40R17 on RPF-1s,,,,,Discount Tire
4/12/2019,-,Cleaned Cobb engine air filter,,,,,Mike
5/23/2019,"80,000",Mileage,,,,,Mike
6/22/2019,"80,975",Brake fluid flush and bleed (Valvoline Synthetic Dot 3/4),,,,,Mike
7/21/2019,"82,862",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,,Mike
9/27/2019,-,Wash,,,,$0.00,Mike
10/11/2019,-,Paintless dent repair of hail damage,,,,,Dents by Hand
10/15/2019,-,Blizzak WS90 235/45R17 tires,,1,,,Tire Rack
11/26/2019,-,Bayson R front splitter destroyed in snow and ice,,,,$0.00,Mike
1/15/2020,"87,947",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,,Mike
1/15/2020,"87,947",Cleaned Cobb engine air filter,,,,$0.00,Mike
4/22/2020,"89,538",Replaced cabin air filter,,,,,Mike
6/6/2020,"90,031",Oil & Filter Change (Idemitsu Synthetic 5W30 Subaru Filter),1,,,,Mike
3/27/2021,"92,500",Reinstalled fixed SPT Exhaust,,,,$0.00,Mike
4/17/2021,"93,016","Replaced water pump, timing belt, idler pulleys, tensioner and All C stretch belt",,,,,Mike
4/17/2021,"93,016",Replaced coolant,,,,,Mike
4/17/2021,"93,016",Changed oil and filter,1,,,,Mike
4/17/2021,"93,016",Installed water to oil cooler,,,,,Mike
2/26/2022,"94,421",Mileage Check,,,,,Mike
4/28/2022,"95,000",Mileage Check,,,,,Mike
4/2/2023,"96,066","Replaced Clutch (Exedy Stage 1, clutch pressure plate, flywheel, sumo TSK, versus forged clutch fork, versus billet fork pivot, Goodridge stainless line)",,,,,"Mike, Dan, Luis"
4/20/2023,"96,116",Replaced Starter (Duralast?),,,,,"Mike, Dan, Luis"
8/26/2023,"97,721",Replaced Rear Diff Fluid (Motul Gear 300 LS),,,,,Mike
8/26/2023,"97,721","Changed Oil, Filter (Idemitsu GL-6 5w30, Subaru Filter)",1,,,,Mike
2/25/2024,"100,000",100K!,,,,,Mike
5/30/2024,"100,749",?,,,,,Mike
8/25/2024,"102,377","Replaced Front Brake Pads and Rotors (Stoptech Sport, Stoptech Slotted)",,,,,Mike
8/25/2024,"102,377",Flushed Brake Fluid (Dot 3/4?),,,,,Mike
8/25/2024,"102,377",Added Friction Modifier to Rear Diff,,,,,Mike
9/8/2024,"102,513",Cleaned MAF Sensor,,,,,Mike
2/25/2025,"103,203",Replaced Front Wipers (Bosch Icon),,,,,Mike
4/22/2025,"103,617",Replaced Lift Gate Struts (Amazon),,,,,Mike
4/22/2025,"103,617",Replaced Rear Wiper (Amazon),,,,,Mike
4/22/2025,"103,617","Changed Oil, Filter (Idemitsu GL-6 5w30, Subaru Filter)",1,,,,Mike
11/1/2025,"104,000",Replaced broken clips on hood scoop,,,,$20.00,Mike
11/1/2025,"104,000",Replaced Battery Optima Yellow Top D35,,,,$317.00,Mike
11/1/2025,"104,000",Replaced hood lift struts,,,,$40.00,Mike
1/22/2026,"104,847",4 Stage Paint Correction and Wax,,,1,,Mike
